"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A1","Arduino_Nano_v3.x","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","Module:Arduino_Nano","1",""
"C1,C3,C4","22uF","~","Capacitor_SMD:C_1206_3216Metric","3",""
"C2,C6,C13","100nF","~","-- mixed values --","3",""
"C5,C12","10uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C7,C8,C14,C15","50V 220uF","~","Capacitor_SMD:CP_Elec_10x10","4",""
"C9,C10,C16,C17","1nF","~","Capacitor_SMD:C_0805_2012Metric","4",""
"C11,C18","50V 10uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"Cp1,Cp2","16V 470nF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"Creg1,Creg2","16V 22uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"D1","WS2812B_5050","https://cdn.sparkfun.com/datasheets/BreakoutBoards/WS2812B.pdf","SparkFun-LED:WS2812-5050-4PIN","1",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_5mm","4",""
"HS1","Heatsink_Pad","~","KML-Custom:Thermal Pad","1",""
"J1","I2C_01x04","~","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","1",""
"J2","Conn_01x10_Female","~","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal","1",""
"J3,J4,J5,J6","Conn_01x02_Socket","~","Library:Term_Block_1x2_P10.16mm","4",""
"JP1,JP2","Jumper_2_Open","~","Capacitor_SMD:C_0805_2012Metric","2",""
"L1","4.7uH","~","Inductor_SMD:L_1210_3225Metric","1",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8","PSMN1R0-30YLC,115","https://assets.nexperia.com/documents/data-sheet/PSMN1R0-30YLC.pdf","Package_TO_SOT_SMD:LFPAK56","8",""
"R1,R6,R7,R12","10K","~","Capacitor_SMD:C_0805_2012Metric","4",""
"R2,R3,R4,R5,R8,R9,R10,R11","1K","~","Capacitor_SMD:C_0805_2012Metric","8",""
"U1,U2,U3","~","","-- mixed values --","3",""
